código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00285,10368629833.00,3111527466.00,5896399752.00,3194170992.00,752371.00,6030183.00,0.00,0.00,0.00,2.20,0.06,-0.79,1.25,49.27,50.78,162.68,1.85,0.63,34.38,1.21,11.13,0.68,9.73,432.23,766.70,376.02,27.95,57.59,108.14,72.97,45.03,9.16,12.47,45.50,-0.74,2.11,-8.20,86.47,86.45,19.55,202406
00299,1831558902.00,475262190.00,1288330691.00,256470675.00,52377.00,486445.00,0.00,0.00,0.00,5.46,-0.64,-1.98,0.47,88.88,11.27,293.69,3.11,0.14,30.89,0.42,18.42,0.36,11.95,169.39,875.39,323.47,37.22,53.43,132.09,64.19,60.28,5.42,7.81,33.48,-0.44,2.46,-11.36,46.58,46.13,50.63,202406
00300,1208831616.00,221697197.00,455445059.00,355715900.00,0.00,0.00,77.00,10415.00,447.00,1.96,0.47,-0.42,0.62,101.33,0.00,214.17,0.00,0.61,-16.53,0.53,3.97,0.14,8.93,697.59,982.88,474.97,3.25,70.94,112.30,35.22,51.14,0.98,2.70,44.35,-0.59,0.09,-4.84,103.10,100.10,58.97,202406
00301,246237711.00,33447489.00,171847440.00,41426341.00,104340.00,384877.00,0.00,0.00,0.00,3.52,5.10,2.96,4.04,33.35,66.65,39.42,6.07,0.00,-56.58,4.02,25.31,1.77,27.87,65.36,263.52,48.22,22.90,53.27,98.34,101.72,31.14,3.32,3.55,36.36,-0.44,2.95,-21.78,30.48,30.30,52.52,202406
00305,38770833.00,6356843.00,24411886.00,10748825.00,505.00,818.00,0.00,0.00,0.00,2.39,1.52,-0.54,2.16,99.85,0.15,146.90,0.00,2.17,1.06,1.84,5.26,2.16,19.96,171.45,297.00,77.30,5.65,58.55,98.48,109.16,32.79,2.05,4.79,58.48,-0.95,3.48,-20.80,35.47,31.37,83.79,202406
00309,162808793.00,47021994.00,90226303.00,62607490.00,1502.00,192831.00,0.00,0.00,0.00,1.60,7.57,5.86,11.24,60.77,39.26,52.01,2.90,16.61,-34.79,11.22,2.40,6.95,23.68,142.96,262.70,144.01,-6.74,43.49,71.73,69.29,24.53,-2.46,0.55,47.96,-4.15,1.61,-18.33,10.21,10.21,4.32,202406
00310,154739335.00,26958115.00,98995941.00,38717566.00,727.00,185239.00,0.00,0.00,0.00,2.75,50.88,31.66,10.83,36.40,63.60,55.97,15.73,2.28,-0.08,10.68,4.10,5.38,30.92,-0.19,354.95,93.27,-25.78,45.41,-0.20,92.53,46.63,-7.03,-3.35,32.94,-1.77,-0.52,-27.40,28.88,28.88,43.50,202406
00311,681326601.00,175558875.00,472257547.00,147569919.00,6110.00,946061.00,0.00,0.00,0.00,3.62,-0.49,-2.49,1.84,40.65,61.07,177.87,1.91,1.65,61.17,1.80,8.63,0.61,19.59,101.00,648.59,248.69,9.98,50.55,88.42,78.81,45.36,2.17,2.45,35.62,-0.86,3.54,-19.03,12.46,12.46,60.47,202406
00312,67481269.00,14699353.00,44456606.00,9211043.00,141.00,16165.00,0.00,0.00,0.00,6.08,4.39,1.52,2.69,4.31,95.69,63.59,2.72,2.02,-19.20,2.69,1.10,0.69,19.89,-228.87,661.96,168.01,-87.69,56.67,-237.11,119.39,80.03,-13.50,-11.82,-13.89,-0.31,-2.45,-15.96,4.12,4.38,23.68,202406
00315,581586010.00,57593349.00,381667353.00,121158209.00,44540.00,589478.00,0.00,0.00,0.00,3.51,1.94,0.53,3.64,28.67,71.33,73.30,3.65,3.61,-1.82,3.53,13.80,2.26,21.61,140.69,691.14,98.81,26.74,43.18,128.19,89.09,15.13,5.70,10.97,46.72,-0.48,1.67,-19.43,19.75,19.75,42.74,202406
00319,412658444.00,90702645.00,186987758.00,138064612.00,978.00,1775.00,0.00,0.00,0.00,1.54,-2.94,-2.94,0.09,100.00,0.00,3145.43,0.00,0.09,313.42,0.09,13.98,0.00,12.47,383.76,1018.26,517.72,26.58,61.11,100.58,103.96,55.00,8.57,13.84,45.90,-1.33,0.70,-8.45,96.22,96.22,40.00,202406
00321,969804266.00,98500242.00,560066129.00,357513918.00,9745.00,1218137.00,0.00,0.00,0.00,1.71,2.18,0.40,5.91,9.18,90.82,77.26,5.89,6.13,2.73,5.89,9.54,3.27,12.04,474.49,867.92,156.82,-11.07,27.71,99.99,79.21,39.52,-4.58,-2.62,48.44,-0.45,2.48,-8.72,16.52,16.52,82.11,202406
00322,1957879162.00,245001220.00,1263450532.00,222016223.00,16942.00,1810664.00,0.00,0.00,0.00,6.67,-5.73,-6.15,1.03,92.44,7.56,476.28,2.66,0.90,216.24,0.76,28.48,0.40,11.47,204.10,1695.69,347.60,35.83,32.31,137.67,65.23,71.54,5.86,13.68,39.81,-2.02,3.90,-11.03,92.01,91.84,43.09,202406
00330,2110370463.00,536490528.00,1559748539.00,322139975.00,63818.00,1337953.00,0.00,0.00,0.00,5.34,-0.09,-0.70,0.57,63.39,36.61,159.97,1.19,0.21,-29.99,0.54,9.49,0.45,11.10,115.88,918.06,309.64,14.68,49.20,40.80,76.30,50.07,3.74,5.47,21.63,-0.49,1.25,-8.97,38.15,38.15,23.17,202406
00331,3553531.00,742723.00,0.00,3257336.00,0.00,0.00,0.00,0.00,5.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.08,0.00,279.44,-56.11,0.00,148.20,-196.13,31.73,-64.48,93.15,0.00,-146.45,-146.45,42.11,0.00,-0.04,-85.81,0.00,0.00,0.00,202406
00332,103951591.00,85807571.00,0.00,18680511.00,0.00,0.00,0.00,510708.00,185.00,4.56,76.08,38.36,14.20,0.00,100.00,51.36,14.20,0.00,6.10,13.55,0.40,12.56,32.09,17.68,0.00,474.59,-59.11,33.12,21.41,70.08,110.77,-14.38,-14.55,32.97,-10.92,20.09,-29.46,9.91,0.00,0.00,202406
00338,358606595.00,69178543.00,155636966.00,92955086.00,828.00,594.00,0.00,0.00,0.00,2.44,-1.52,-1.52,0.08,99.50,0.50,1669.37,0.13,0.08,43.60,0.08,5.52,0.07,20.75,388.15,1200.68,519.61,106.23,44.61,295.41,80.93,41.70,21.57,39.94,80.20,-1.79,2.81,-15.45,70.29,71.42,58.35,202406
00339,68536235.00,60570579.00,17540084.00,34214511.00,3.00,0.00,0.00,0.00,0.00,1.00,-0.24,-0.24,0.00,100.00,0.00,0.00,0.00,0.00,-86.67,0.00,9.89,0.00,8.04,659.06,905.83,3174.47,-27.11,23.19,99.82,103.77,77.94,-10.84,-10.87,53.74,-0.18,-0.29,-6.05,38.66,38.66,38.66,202406
00340,135385817.00,32313159.00,92016535.00,21004109.00,0.00,72.00,0.00,0.00,0.00,4.66,-0.42,-0.42,0.06,99.99,0.01,964.25,21.62,0.06,-42.09,0.03,13.75,0.06,10.86,149.14,1322.71,476.02,40.64,74.91,116.26,77.93,83.41,3.71,4.20,24.03,-0.09,0.22,-7.11,46.99,46.99,40.35,202406
00341,24716865.00,3211598.00,15487024.00,6231159.00,382.00,9366.00,0.00,0.00,0.00,2.97,3.78,1.24,9.64,43.54,56.46,76.21,13.64,4.45,2.80,9.64,20.68,5.76,30.88,-32.31,148.33,29.63,-30.22,65.50,-24.05,94.71,45.65,-7.81,-12.07,12.89,-0.82,1.88,-19.23,33.01,33.01,33.01,202406
00384,111558828.00,1938236.00,103607369.00,4859311.00,0.00,727003.00,0.00,0.00,0.00,21.96,0.94,-0.37,0.80,15.65,84.35,178.05,0.75,1.06,7.69,0.80,30.83,0.17,8.90,2.62,1623.10,30.97,-111.04,40.64,2.91,32.12,31.38,-17.06,-17.06,22.01,-0.07,-1.86,-17.11,68.09,68.09,57.17,202406
00386,1048756261.00,217855117.00,614404564.00,271458607.00,23296.00,809892.00,0.00,0.00,0.00,2.73,-0.08,-0.61,0.66,54.76,45.24,201.97,1.05,0.34,-9.93,0.57,4.26,0.66,13.50,321.34,813.01,292.42,30.47,46.07,111.33,71.04,46.92,8.45,14.76,42.74,-0.45,2.15,-9.61,34.28,34.61,27.51,202406
00389,355700084.00,60361203.00,130546099.00,73247220.00,1207.00,435531.00,0.00,0.00,0.00,2.26,7.11,2.34,9.02,12.38,87.62,73.20,10.24,0.40,24.35,8.97,8.82,6.08,34.30,-55.68,172.54,77.66,130.66,61.52,-92.91,106.22,64.00,18.11,20.99,11.96,-2.47,3.84,-23.12,16.40,16.14,32.09,202406
00426,97602012.00,32509905.00,54528191.00,26357037.00,4236.00,58359.00,0.00,0.00,0.00,2.70,0.06,-0.46,0.91,53.16,46.84,140.08,1.61,0.30,-12.74,0.90,11.31,0.13,18.00,185.92,289.13,169.02,17.73,57.81,108.99,88.56,58.09,4.14,6.44,40.02,-0.59,4.18,-13.67,21.15,20.24,44.84,202406
00431,122634802.00,29706266.00,83524153.00,29986218.00,3827.00,17751.00,0.00,0.00,0.00,3.03,-1.07,-1.44,1.00,82.51,17.49,231.85,1.48,0.90,40.11,0.99,21.73,0.79,23.03,134.55,408.00,143.70,39.57,36.14,132.73,84.78,42.56,8.57,15.49,58.74,-1.73,0.18,-21.37,45.07,44.89,47.47,202406
00432,62149255.00,12748590.00,12222842.00,20052825.00,1354.00,1182.00,0.00,0.00,0.00,1.97,-0.25,-0.44,0.60,90.94,9.06,209.72,4.70,0.19,3.07,0.56,15.11,0.02,33.34,363.08,109.45,112.54,60.55,52.79,181.39,92.58,50.86,18.21,23.93,72.25,-0.41,3.49,-15.02,158.60,162.85,106.77,202406
00435,5058245.00,530143.00,698138.00,4168719.00,43.00,621.00,0.00,0.00,0.00,0.21,1.56,1.01,15.89,84.90,15.10,55.57,4.20,17.97,0.00,15.89,5.82,15.61,209.24,202.44,231.28,160.27,4.51,11.19,109.85,153.92,4.25,2.61,-2.38,99.80,-1.18,0.37,-31.39,42.14,42.14,516.04,202406
00448,36854407.00,4432425.00,23786696.00,9874359.00,166.00,6721.00,0.00,0.00,0.00,2.69,-0.18,-0.39,0.99,53.41,46.59,186.97,1.65,0.40,15.86,0.99,3.54,0.30,12.22,356.66,616.19,114.32,-46.80,49.12,88.84,80.29,103.88,-13.03,-12.03,31.76,-0.17,1.06,-6.93,5.43,5.43,16.05,202406
44077,71782931.00,24263837.00,45704487.00,15776441.00,0.00,249683.00,0.00,0.00,0.00,3.55,20.00,7.57,19.79,0.01,99.99,83.49,19.79,32.13,0.77,19.79,10.34,19.79,39.97,-40.42,109.81,61.39,-23.79,39.96,-68.86,114.85,61.71,-4.67,-11.84,32.05,-9.09,1.95,-33.45,16.24,16.24,25.04,202406
44088,137385560.00,122863801.00,294104.00,44821128.00,0.00,0.00,1.00,10693.00,46.00,2.07,0.09,-0.13,0.26,68.36,31.64,117.20,0.79,0.01,-73.98,0.26,3.64,0.26,6.25,652.25,6.30,2814.65,11.24,46.05,126.07,110.47,106.65,3.77,7.10,55.77,-1.24,3.62,-6.48,12.97,1702.45,1702.45,202406
44092,96915817.00,57211715.00,15636883.00,19691704.00,0.00,0.00,23.00,31074.00,37.00,3.92,4.77,-0.08,1.00,66.00,34.00,101.55,1.94,0.52,-30.29,1.00,1.59,1.00,10.74,294.89,299.62,1305.97,3.45,29.84,101.12,126.51,78.42,0.80,0.08,29.15,-2.58,11.83,-7.95,6.42,9.88,9.88,202406
44093,37573567.00,24615566.00,10964986.00,19084637.00,0.00,1.00,0.00,0.00,0.00,0.97,1.28,-0.67,0.75,6.01,93.99,161.06,0.80,0.00,-10.07,0.75,7.08,0.75,11.69,420.61,238.00,517.94,-27.10,50.26,80.62,84.77,55.67,-15.64,-17.12,58.75,-1.01,6.22,-11.06,22.23,24.25,77.08,202406
44094,63259350.00,36272693.00,1254226.00,12324603.00,0.00,3.00,0.00,0.00,0.00,4.13,5.40,-4.80,0.18,94.96,5.04,627.51,0.93,0.14,0.01,0.17,1.72,0.10,18.82,107.83,22.99,729.83,-77.65,67.54,44.69,80.01,54.19,-17.79,-13.70,26.44,-1.09,0.44,-9.50,277.88,86.53,86.53,202406
44095,53602803.00,39508241.00,0.00,15692729.00,0.00,0.00,0.00,28671.00,29.00,2.42,2.34,-1.49,0.36,17.38,82.62,199.99,0.42,0.10,-34.69,0.36,5.60,0.36,10.78,273.79,0.00,2159.28,12.77,23.52,127.49,93.15,0.00,2.82,4.09,54.01,-1.71,-4.49,-10.28,500.52,0.00,0.00,202406
44096,262521056.00,205596576.00,0.00,20775669.00,0.00,0.00,0.00,1874.00,74.00,11.64,16.49,7.15,2.66,100.00,0.00,74.12,0.00,2.66,9.27,2.46,10.91,2.66,3.43,97.76,0.00,2752.66,-55.19,57.41,29.22,22.75,0.00,-4.42,-2.14,4.91,-0.27,1.76,-2.39,77445.48,0.00,0.00,202406
44098,83735751.00,72784399.00,0.00,21640986.00,0.00,0.00,11.00,21531.00,30.00,2.74,0.09,-0.29,0.13,63.85,36.15,167.37,0.35,0.00,-79.10,0.13,1.07,0.13,7.00,422.29,0.00,2462.50,-7.46,30.06,97.17,107.26,115.74,-2.03,-1.32,40.35,-1.21,2.07,-6.26,3.35,0.00,0.00,202406
44099,44497394.00,26254498.00,2875588.00,25295349.00,0.00,1.00,0.00,0.00,0.00,0.76,1.37,0.98,0.92,58.05,41.95,22.98,0.81,1.00,-83.08,0.82,4.07,0.21,33.15,6.43,45.58,420.48,-53.48,56.71,3.73,86.34,95.87,-16.09,-15.38,18.59,-0.22,5.83,-17.48,209.09,63.03,63.03,202406
