código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,15625634000.00,5296866887.00,9701017021.00,3464084205.00,448885.00,6968100.00,545161.00,4328784.00,5745.00,3.33,0.04,-2.32,1.87,56.52,43.48,161.96,3.49,0.63,74.29,1.85,22.17,1.21,7.30,365.16,1659.94,900.10,25.22,47.79,116.63,64.30,36.64,5.61,9.31,35.62,-2.09,2.38,-7.10,43.40,43.15,38.53,202408
00011,40430072656.00,10591329621.00,24948403769.00,13896198895.00,300901.00,19940171.00,1218852.00,4199060.00,17261.00,1.68,0.00,-1.03,1.41,59.02,41.07,172.36,1.76,1.17,71.65,1.79,7.34,0.99,4.93,1030.63,1413.18,441.72,48.17,71.66,143.73,100.73,49.30,13.73,20.65,48.59,-1.64,0.26,-3.97,11.25,11.25,20.28,202408
00014,12437395345.00,4223722716.00,8366888309.00,2892857100.00,1084205.00,11960302.00,385758.00,4431899.00,10363.00,3.16,0.89,-1.22,1.46,47.29,52.71,152.66,2.42,0.39,25.51,1.45,15.63,0.74,11.40,126.98,796.49,347.81,14.00,82.23,63.35,72.94,47.44,2.64,2.64,24.92,-0.99,-2.39,-9.42,38.94,38.94,33.91,202408
00015,5546035275.00,1732424005.00,3160151741.00,1498102888.00,148952.00,1691274.00,94543.00,997858.00,3483.00,2.39,-1.21,-2.04,1.29,60.26,39.74,215.05,3.03,0.14,100.31,1.27,14.29,1.07,12.44,214.08,893.01,498.11,20.92,52.73,90.87,46.40,40.86,4.96,7.25,34.77,-1.27,1.02,-10.05,42.04,41.40,25.69,202408
00016,3474703368.00,833122518.00,1441438668.00,1425467694.00,2102.00,704.00,0.00,1195.00,1057.00,0.99,-2.95,-2.95,0.00,103.93,0.00,0.00,0.00,0.00,377.89,0.00,24.57,0.00,17.54,494.54,1362.60,744.58,-8.38,36.72,103.46,76.96,2.55,-3.50,-4.28,53.04,-0.81,3.45,-8.75,78.76,78.76,88.99,202408
00017,10404889984.00,4502893153.00,6779172284.00,2297688758.00,2213949.00,6225572.00,348411.00,3342506.00,6009.00,3.09,-0.48,-1.81,1.28,54.59,45.41,173.96,2.47,0.29,37.50,1.25,17.45,1.15,9.01,253.37,1112.57,720.78,16.25,46.28,101.48,61.13,31.75,3.78,6.22,35.23,-1.45,2.34,-9.32,28.08,27.49,28.98,202408
00020,3312929864.00,1320256795.00,2391416607.00,547896164.00,455650.00,2763002.00,195857.00,1181477.00,2046.00,4.87,0.01,-1.89,1.51,36.78,63.22,144.88,1.40,1.71,37.03,1.49,7.05,1.37,12.76,128.05,1152.24,485.56,35.89,38.32,114.17,107.98,57.63,4.96,9.05,30.35,-1.49,2.10,-12.33,36.82,36.82,16.38,202408
00027,3604483234.00,1285595204.00,2634122374.00,589833964.00,39214.00,2053657.00,50538.00,1747540.00,3161.00,4.82,0.12,-3.86,0.93,69.44,30.56,245.55,1.88,0.51,65.04,0.92,15.22,0.42,12.06,119.01,827.04,369.12,18.38,59.54,97.31,79.13,48.15,3.06,4.93,31.81,-1.51,2.00,-13.60,27.79,27.60,28.47,202408
00029,5429577377.00,1241755098.00,3705651713.00,1432726012.00,49464.00,1268744.00,217772.00,176242.00,2564.00,2.36,1.22,0.18,2.83,43.25,56.75,93.22,2.76,2.91,8.34,2.83,18.74,2.12,6.88,604.78,1428.84,344.95,26.83,64.47,135.08,98.68,35.02,5.90,10.82,38.87,-0.69,0.03,-4.91,26.59,26.59,40.53,202408
00034,4432255545.00,1342689977.00,2935904033.00,1152773331.00,166681.00,2268624.00,100073.00,920352.00,2892.00,2.77,-0.08,-0.46,0.46,68.32,31.68,183.21,1.43,0.02,-27.69,0.43,12.57,0.46,7.94,392.16,997.95,448.44,19.22,58.51,116.82,68.27,50.63,4.45,6.63,36.23,-0.31,1.43,-6.90,20.85,19.29,27.99,202408
00044,2316200177.00,345460740.00,1608127238.00,402953820.00,8102.00,773392.00,53009.00,338330.00,1579.00,3.86,0.43,-0.46,1.71,45.04,54.97,129.20,2.98,0.16,27.38,1.70,16.78,1.09,9.57,220.21,1008.21,169.84,29.04,71.86,99.04,93.50,60.07,4.47,5.62,23.26,-0.39,1.56,-6.92,70.60,70.59,35.81,202408
00045,794115384.00,182627108.00,555430114.00,184231569.00,29210.00,555994.00,14839.00,175549.00,590.00,3.30,0.09,-0.42,0.54,68.06,31.94,171.59,1.52,0.08,-27.74,0.40,4.68,0.54,10.38,283.95,932.21,313.71,27.02,42.09,104.66,69.95,43.83,7.27,11.87,39.59,-0.36,1.21,-9.92,33.11,33.44,9.35,202408
00065,254258852.00,78222172.00,157412816.00,66616605.00,3155.00,271929.00,26652.00,163504.00,419.00,2.82,2.17,0.09,1.99,29.36,70.64,96.38,2.67,0.36,3.22,1.99,13.98,1.11,20.17,122.20,373.13,178.97,8.35,64.85,92.66,83.05,36.94,1.96,4.26,41.71,-0.76,1.92,-17.78,22.57,22.57,32.94,202408
00072,13358242214.00,5968379221.00,8702945194.00,2966020347.00,1202176.00,9350792.00,394516.00,1179273.00,6248.00,3.38,0.42,-2.38,1.72,60.88,39.20,159.69,3.38,0.64,55.90,1.70,18.49,1.42,9.31,257.83,1377.04,888.91,32.45,46.14,120.87,60.72,35.05,6.63,9.04,35.45,-1.83,4.02,-9.58,29.92,29.93,29.56,202408
00083,668542862.00,155546546.00,450770693.00,190868515.00,6227.00,287020.00,24999.00,163035.00,739.00,2.50,5.16,3.74,6.25,54.15,45.85,38.98,1.29,10.45,-5.22,6.21,8.67,2.03,12.74,277.66,605.08,211.33,20.81,77.27,122.22,65.79,29.59,5.29,9.17,43.40,-1.00,0.96,-11.19,12.86,12.86,23.03,202408
00086,425739139.00,103585570.00,312530787.00,75228846.00,13449.00,158107.00,11690.00,115402.00,265.00,4.63,0.38,-0.64,1.13,64.91,35.09,136.09,1.86,0.74,-5.87,1.02,3.20,1.13,11.51,188.50,1169.89,389.04,22.13,45.11,101.44,66.06,49.53,4.33,7.34,31.85,-0.54,1.63,-10.54,49.88,50.73,12.58,202408
00093,909933401.00,174368536.00,572224639.00,275502713.00,65535.00,515396.00,54928.00,315307.00,785.00,2.30,-0.91,-1.64,1.26,51.18,48.82,268.10,1.37,1.16,99.04,1.26,7.80,0.89,14.70,254.10,720.65,228.46,10.81,63.93,107.90,80.17,44.18,2.96,6.58,44.98,-0.84,0.57,-11.62,12.41,12.41,24.76,202408
00094,711234978.00,143499733.00,375790634.00,223814983.00,27939.00,819588.00,36016.00,85970.00,833.00,2.04,1.48,0.44,2.90,55.63,44.37,78.71,2.60,3.14,0.07,2.88,5.36,0.94,21.67,259.14,447.07,170.37,34.01,59.99,125.88,66.31,32.55,11.26,14.62,58.94,-0.59,1.73,-16.07,9.69,9.69,19.57,202408
00097,1249415336.00,165360089.00,850722251.00,324221510.00,11715.00,406321.00,36682.00,425517.00,1154.00,2.85,1.31,-0.11,2.52,19.65,80.35,107.68,2.90,0.95,23.59,2.50,7.06,1.39,12.54,263.57,731.68,141.66,22.65,70.66,115.46,70.35,23.10,5.87,7.79,40.32,-0.46,1.69,-11.36,10.37,10.37,40.49,202408
00131,20648946.00,2702367.00,5471228.00,10899044.00,0.00,49.00,1.00,0.00,33.00,0.89,-0.05,-0.05,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,44.89,0.00,85.21,73.13,164.19,81.82,-90.28,55.54,31.20,99.11,58.75,-33.97,-33.97,32.47,-0.02,0.71,-16.06,218.78,169.43,169.43,202408
00143,162381235.00,24750175.00,104462261.00,12289888.00,0.00,5980792.00,50527.00,1020.00,336.00,6.67,16.94,6.53,5.00,9.29,90.71,49.75,5.52,0.00,-11.07,5.00,30.25,0.17,24.51,-1.39,309.45,71.78,-84.63,58.36,-3.07,77.46,20.35,-9.22,-10.25,32.69,-0.99,-5.37,-24.01,29.34,29.34,92.37,202408
00147,90132017.00,21640011.00,43522527.00,22638077.00,451.00,259.00,129.00,337.00,111.00,1.39,-0.94,-0.94,0.34,99.76,0.24,346.06,8.30,0.32,2.71,0.34,10.79,0.19,23.86,42.98,386.00,193.58,22.80,63.15,31.21,88.21,66.73,5.08,4.00,28.83,-0.39,-0.79,-16.17,52.93,52.93,40.32,202408
00150,5463663149.00,1783430232.00,3365664959.00,1426147619.00,269254.00,1387542.00,36765.00,139423.00,2795.00,2.41,-0.93,-1.89,1.10,62.13,38.44,233.92,2.13,0.45,71.25,1.07,17.68,1.00,9.80,285.68,1188.15,640.03,19.92,55.60,104.33,52.53,25.75,5.08,6.87,36.96,-0.79,2.29,-9.31,33.23,33.29,35.88,202408
00165,399891652.00,0.00,107957182.00,279351701.00,36.00,72.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-100.00,0.00,4.28,0.00,43.62,591.51,648.60,0.00,-14.25,84.41,95.71,30.54,25.40,-10.58,-10.16,83.73,0.00,4.83,-12.02,276.53,276.53,75.76,202408
00191,5817835111.00,897674943.00,3227976199.00,2334392481.00,370365.00,3308978.00,156911.00,654248.00,4593.00,1.43,-0.64,-0.69,0.35,79.49,20.86,583.54,1.22,0.12,78.75,0.35,12.50,0.27,14.89,380.51,692.61,188.09,29.20,50.06,109.66,60.21,54.35,9.76,9.76,45.45,-0.31,2.77,-9.63,22.11,22.11,29.00,202408
00198,1171199001.00,78598766.00,1024450419.00,114346657.00,1298.00,1957.00,99.00,506.00,281.00,8.92,-0.69,-0.69,0.00,99.54,0.46,1073766.67,0.00,0.00,-49.77,0.00,38.67,0.00,3.74,382.78,3603.31,280.37,17.68,70.56,131.06,40.81,35.80,1.33,2.17,15.11,-0.15,0.77,-2.57,43.56,43.56,52.07,202408
00247,84336492.00,638958.00,24323898.00,49533181.00,21883.00,8360.00,1097.00,1546.00,169.00,0.70,0.00,-0.01,0.20,98.79,1.21,113.31,0.67,0.19,-80.91,0.15,1.52,0.19,47.75,495.29,143.59,3.84,16.20,50.18,121.85,75.86,19.82,8.94,15.27,74.43,-0.19,9.42,-13.57,5.26,5.26,29.40,202408
00254,326693876.00,51663040.00,100565973.00,116092771.00,609.00,1721.00,145.00,279.00,192.00,1.57,-0.38,-0.38,0.77,99.85,0.15,185.27,16.92,0.75,-0.40,0.71,6.18,0.75,17.62,418.10,512.34,260.84,53.96,68.92,102.01,85.41,51.56,18.79,24.74,49.52,-0.38,0.96,-8.49,138.47,133.11,33.93,202408
00259,1312988519.00,304059645.00,800149786.00,384285762.00,121546.00,1339137.00,28231.00,7280.00,1348.00,2.22,-1.18,-1.52,1.64,74.34,25.67,171.65,1.91,1.55,52.38,1.63,25.47,1.61,19.73,139.98,586.94,214.41,8.24,52.96,77.87,78.67,35.35,2.02,1.38,37.03,-2.88,2.63,-13.65,47.89,47.52,48.15,202408
00266,141618359.00,2083565.00,49461933.00,64895811.00,72.00,75.00,2.00,1.00,81.00,-0.05,0.00,0.00,0.00,99.99,0.01,0.00,0.00,0.00,-95.17,0.00,15.50,0.00,62.66,214.90,607.82,25.72,19.63,78.38,117.75,59.61,35.23,7.32,11.36,57.31,0.00,11.89,-20.43,54.30,60.98,164.45,202408
00268,334822307.00,69233631.00,183293581.00,131774641.00,1886.00,84724.00,7430.00,26004.00,334.00,1.54,0.35,-0.13,2.99,10.75,89.25,107.95,1.68,13.89,0.28,2.99,3.77,2.65,16.67,333.38,543.71,175.94,32.99,71.77,110.78,81.81,27.39,13.59,14.11,57.37,-0.50,2.49,-13.69,6.88,6.88,20.79,202408
00269,6245566.00,468611.00,2761101.00,2942146.00,48.00,2739.00,24.00,123.00,22.00,1.12,0.00,0.00,1.72,52.08,47.92,106.28,3.59,0.00,0.00,0.26,39.02,0.00,70.62,-73.60,125.46,21.31,-105.17,64.48,-66.81,52.35,0.50,-40.44,-40.51,11.62,-0.03,-1.45,-34.90,102.81,88.32,122.03,202408
00277,55000933.00,22189643.00,31763658.00,17299836.00,247.00,731.00,110.00,55376.00,64.00,2.16,0.67,-3.41,8.67,10.78,89.22,143.33,9.72,0.00,93.46,5.38,3.06,6.72,20.59,159.51,484.93,353.91,8.80,37.30,105.73,126.54,65.12,2.46,-0.27,58.24,-4.15,0.94,-18.55,5.27,5.27,11.01,202408
00281,33045831.00,3279364.00,12592185.00,10341409.00,416.00,1062.00,512.00,556.00,76.00,1.82,-0.57,-0.67,0.35,78.70,21.30,380.45,0.03,0.44,48.52,0.33,15.96,0.16,51.43,30.79,164.04,43.60,0.75,63.93,24.01,52.63,34.75,0.22,0.72,28.49,-0.39,5.36,-23.27,37.25,37.25,58.40,202408
00285,10592178375.00,3808927079.00,5821309258.00,3495535088.00,752371.00,6030183.00,334670.00,3675059.00,7627.00,1.84,-0.01,-0.92,1.08,46.97,53.03,174.55,1.58,0.53,32.42,1.06,13.24,0.62,9.80,376.01,754.93,465.80,20.42,58.18,92.57,67.60,38.45,6.98,9.25,41.89,-0.81,2.19,-8.42,37.88,37.88,30.03,202408
00299,1304992798.00,423670624.00,670916253.00,282822668.00,52377.00,486445.00,24343.00,192483.00,1455.00,2.62,-1.53,-2.27,0.49,87.34,12.71,330.22,2.96,0.13,54.09,0.46,17.77,0.38,19.43,163.19,458.30,289.20,26.76,52.23,118.15,59.97,52.21,4.03,6.11,31.01,-0.47,2.53,-10.91,35.79,35.64,54.43,202408
