código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00330,2141807562.00,674443075.00,1609132233.00,353592612.00,63818.00,1337953.00,74761.00,1328902.00,1672.00,4.96,-0.01,-0.84,0.58,60.77,39.23,164.85,1.18,0.19,-26.91,0.55,10.99,0.43,11.13,94.72,951.20,395.55,8.62,48.86,37.27,72.05,45.10,2.14,3.10,21.13,-0.53,1.26,-9.77,35.58,35.70,16.48,202408
00331,3390382.00,2424863.00,0.00,2921922.00,0.00,0.00,0.00,0.00,5.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.04,0.00,93.22,-57.42,0.00,484.20,-181.50,31.71,-61.81,74.07,0.00,-145.79,-145.79,41.15,0.00,-0.05,-86.46,0.00,0.00,0.00,202408
00332,123569115.00,104449059.00,0.00,20803182.00,0.00,0.00,0.00,513709.00,181.00,4.94,63.53,39.86,13.89,0.00,100.00,54.63,13.89,0.00,5.80,13.78,0.40,12.32,28.97,18.77,0.00,594.85,-50.75,33.58,25.34,67.69,108.40,-10.91,-9.77,32.44,-11.55,20.98,-29.04,2.68,0.00,0.00,202408
00338,347384259.00,73368562.00,143700646.00,109385181.00,831.00,611.00,100.00,6512.00,133.00,1.85,-1.51,-1.51,0.08,99.59,0.41,1802.10,0.16,0.08,40.88,0.08,10.19,0.08,22.52,406.97,1061.72,538.80,94.88,44.43,252.55,72.11,37.37,21.72,38.48,75.66,-1.67,3.02,-14.20,115.30,112.62,38.40,202408
00339,60881235.00,50753136.00,14139623.00,35411654.00,3.00,0.00,33.00,16278.00,19.00,0.72,-0.18,-0.18,0.00,100.00,0.00,0.00,0.00,0.00,-85.45,0.00,15.12,0.00,9.39,602.61,718.29,2671.56,-33.98,26.48,85.99,98.61,69.56,-14.64,-15.58,50.17,0.20,-0.38,-6.15,117.10,65.11,65.11,202408
00340,167121189.00,30530980.00,131369827.00,24101342.00,0.00,72.00,8.00,115.00,70.00,3.08,-0.22,-0.22,0.08,99.99,0.01,617.45,20.40,0.07,-54.71,0.03,5.05,0.08,9.00,151.35,1832.19,435.28,39.40,74.76,109.34,68.82,74.24,3.88,4.13,23.37,-0.07,0.21,-7.11,22.62,22.65,52.87,202408
00341,25776441.00,3748316.00,16250981.00,6477077.00,373.00,9381.00,0.00,0.00,0.00,2.98,2.36,1.21,9.03,48.46,51.54,77.96,14.37,3.35,3.01,9.03,20.24,5.78,30.46,-24.61,156.49,34.83,-33.96,65.94,-18.94,95.30,38.36,-8.76,-9.48,15.22,-0.83,1.52,-19.86,32.11,32.11,40.66,202408
00384,165321779.00,13896071.00,150398520.00,10394145.00,0.00,727003.00,33406.00,10790.00,60.00,14.90,-0.59,-1.18,0.31,1.99,98.01,318.01,0.32,0.00,-9.58,0.31,13.61,0.00,6.52,33.83,2472.56,223.57,-59.15,40.24,42.61,38.19,30.68,-6.25,-6.25,21.33,-0.21,-1.37,-13.32,70.18,70.18,35.17,202408
00386,1093981965.00,333466476.00,693822848.00,297012283.00,23296.00,809892.00,42046.00,649084.00,751.00,2.67,-0.37,-0.78,0.55,55.34,44.66,229.55,0.92,0.26,-9.82,0.43,3.91,0.55,11.94,273.69,912.72,440.67,23.88,45.78,97.04,66.28,39.55,6.94,11.66,40.68,-0.50,2.25,-10.30,19.86,20.01,17.01,202408
00389,367793433.00,88132086.00,103452317.00,81650310.00,1207.00,435531.00,26420.00,197073.00,736.00,3.02,6.19,2.18,7.51,8.39,91.61,75.74,8.19,0.02,24.83,7.51,4.70,5.03,37.06,-61.89,139.16,114.58,111.04,60.92,-83.56,106.30,60.18,18.51,21.26,9.89,-2.52,3.90,-22.50,14.21,14.90,23.26,202408
