código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,-1.01,-1.38,1.71,71.21,28.88,165.11,1.79,1.68,39.80,1.71,24.13,1.65,19.92,136.54,557.56,252.83,12.27,53.29,71.64,67.81,27.77,3.28,2.30,33.79,-0.56,2.67,-14.04,52.66,50.69,50.55,202410
00266,134300922.00,23351467.00,32176502.00,70544719.00,68.00,74.00,2.00,1.00,83.00,0.00,-0.01,-0.01,0.00,99.98,0.02,0.00,0.00,0.00,-63.67,0.00,17.65,0.00,57.54,224.02,391.93,287.75,21.89,77.20,109.36,42.92,31.43,8.68,13.11,53.97,0.00,12.83,-19.36,232.80,45.77,181.14,202410
00268,375397996.00,95481607.00,210754650.00,141438123.00,1999.00,83872.00,7574.00,28653.00,338.00,1.65,0.18,-0.25,2.48,11.62,88.38,114.17,1.41,10.65,0.30,2.48,3.39,2.21,14.25,324.07,618.16,249.74,34.30,71.39,102.36,74.69,24.35,14.02,14.47,52.82,-0.55,2.51,-12.91,18.78,6.04,18.78,202410
00269,6014135.00,278218.00,2850342.00,2565007.00,48.00,2594.00,22.00,122.00,22.00,1.34,-0.02,-0.02,0.45,48.62,51.38,261.81,0.87,0.00,0.00,0.13,43.91,0.45,81.28,-76.41,129.50,12.65,-104.34,61.26,-70.11,46.45,0.39,-41.97,-42.05,11.09,-0.02,-1.54,-36.91,136.30,92.76,129.17,202410
00277,54948390.00,27618852.00,30052476.00,18899339.00,223.00,703.00,63.00,51881.00,63.00,1.89,0.74,-3.90,8.10,16.47,83.53,146.22,9.70,0.00,94.34,4.91,7.00,6.46,19.98,146.68,459.69,441.10,10.88,37.54,94.39,120.49,55.74,3.20,1.21,56.59,-4.73,0.88,-18.89,15.69,12.72,14.69,202410
00281,36469589.00,3031872.00,15328541.00,10992430.00,417.00,1111.00,536.00,562.00,75.00,2.02,-0.28,-0.33,0.97,97.46,2.54,149.51,0.46,0.98,31.43,0.91,22.35,0.40,46.79,19.62,200.31,40.27,-5.54,63.52,15.23,47.99,25.12,-1.69,-1.49,25.67,-0.30,5.48,-23.61,59.74,48.76,59.74,202410
00285,12719949191.00,4600331681.00,7597340720.00,3788508120.00,761781.00,6218021.00,341237.00,3913932.00,7567.00,2.24,-0.04,-0.94,1.13,44.53,55.48,166.54,1.64,0.49,29.38,1.09,22.15,0.65,8.17,367.12,987.13,566.94,24.73,57.28,88.42,59.78,30.06,8.38,11.08,39.72,-0.82,2.19,-8.16,48.67,44.49,39.39,202410
00299,2131576691.00,627434863.00,1411586453.00,301319948.00,53854.00,489676.00,23266.00,187296.00,1502.00,4.85,-1.48,-2.58,0.43,88.04,11.99,334.90,2.62,0.14,33.87,0.39,33.94,0.32,10.59,149.43,966.28,428.38,20.85,52.06,104.11,51.76,41.25,3.16,4.89,27.71,-0.45,2.59,-10.56,65.03,53.67,52.67,202410
00300,1244627208.00,269059242.00,549190607.00,452620152.00,0.00,0.00,78.00,9651.00,345.00,1.69,0.41,-0.43,0.65,102.77,0.00,227.73,0.00,0.63,-17.02,0.49,2.69,0.18,7.40,704.78,1522.99,728.98,12.21,73.31,97.83,34.43,42.22,3.96,5.05,40.51,-0.43,0.14,-4.50,101.20,94.01,12.10,202410
00301,297857955.00,44444287.00,193691174.00,47896501.00,100503.00,377293.00,12646.00,5.00,622.00,4.69,5.28,2.94,3.69,33.36,66.64,43.53,5.54,0.00,-51.65,3.69,29.90,1.48,27.13,55.82,299.54,65.03,12.20,52.14,78.39,111.12,22.13,2.01,1.87,35.29,-0.34,3.61,-23.18,58.19,55.52,45.25,202410
