código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00384,377055197.00,156757327.00,319869523.00,27836731.00,0.00,2060256.00,63377.00,402699.00,67.00,12.32,41.53,2.11,2.48,0.44,99.56,87.64,2.49,0.00,17.97,2.48,9.50,1.25,3.04,89.85,4725.71,2256.91,58.42,35.56,87.07,63.11,28.19,3.92,3.92,16.63,-1.92,-0.68,-6.50,25.89,17.09,19.81,202502
00386,1330788404.00,471912656.00,861374992.00,343261948.00,49011.00,858581.00,34974.00,620710.00,751.00,2.88,-0.40,-1.05,0.63,49.91,50.09,213.47,1.00,0.27,1.76,0.54,4.12,0.63,10.38,113.77,1138.75,626.36,8.04,43.32,42.93,46.91,18.13,2.25,2.12,23.65,-0.62,2.56,-10.55,19.71,10.54,15.75,202502
00389,465563882.00,145913051.00,159736675.00,79283347.00,1573.00,338852.00,24441.00,214780.00,697.00,3.83,15.33,5.24,9.19,7.69,92.31,72.72,9.95,0.03,22.55,9.19,7.07,5.84,28.41,-61.13,227.01,202.97,30.09,57.72,-60.42,95.69,29.15,6.91,8.40,10.35,-3.23,3.64,-22.69,16.25,16.93,16.93,202502
00426,142061336.00,72065743.00,93893042.00,35834671.00,5453.00,58989.00,5061.00,152512.00,187.00,2.96,1.71,0.34,1.31,57.91,42.09,87.50,1.84,0.93,-24.82,1.31,9.33,0.11,11.44,111.73,496.88,380.27,16.65,55.88,61.01,56.90,25.82,4.29,6.60,29.24,-0.82,4.48,-14.06,24.02,14.12,24.02,202502
00431,199713548.00,82052712.00,155875960.00,37584154.00,5213.00,19035.00,1462.00,37779.00,198.00,4.31,-0.99,-1.68,0.46,87.41,12.59,245.33,1.61,0.29,-10.51,0.46,10.93,0.37,11.69,39.73,784.13,409.12,4.79,42.54,29.03,49.47,21.97,1.07,0.90,25.52,-0.57,1.15,-16.34,34.77,25.69,23.08,202502
00432,88044611.00,28894653.00,24705114.00,26528080.00,1317.00,1258.00,193.00,23323.00,107.00,1.96,0.42,0.11,1.67,89.31,10.69,94.55,2.63,1.56,2.16,1.62,8.13,0.10,19.81,125.11,229.65,270.05,7.80,51.84,51.07,53.69,13.56,2.33,0.58,26.89,-0.48,2.94,-12.22,111.39,63.89,122.64,202502
00435,7916839.00,2976796.00,1126855.00,6327235.00,138.00,932.00,612060.00,513.00,11.00,0.25,5.74,4.40,20.62,84.54,15.46,60.50,5.39,23.41,0.00,20.62,12.28,4.88,81.28,30.98,99.81,290.45,-13.14,12.75,20.11,80.29,3.65,-7.41,-11.53,45.56,-4.52,9.63,-36.63,289.62,86.31,289.62,202502
00448,52048630.00,12401137.00,34300043.00,13376865.00,587.00,7100.00,398.00,267912.00,34.00,2.86,4.76,4.14,7.18,62.93,37.07,40.73,1.45,10.55,32.50,7.18,6.83,0.09,8.02,80.97,1001.69,363.47,-35.56,50.83,23.44,32.54,17.06,-8.67,-8.25,13.00,-0.71,1.77,-7.06,23.29,10.27,23.29,202502
44077,104945160.00,50804737.00,67005232.00,15372937.00,0.00,246659.00,2361.00,141238.00,401.00,5.83,41.07,9.95,11.64,2.76,97.24,80.95,11.97,0.00,1.21,11.64,6.45,11.62,28.59,-10.76,165.01,123.14,-31.91,32.51,-19.12,122.08,28.06,-6.51,-9.38,40.81,-5.64,1.84,-36.27,17.56,10.11,17.56,202502
44088,348285431.00,314506908.00,4086224.00,62355827.00,0.00,0.00,1.00,17025.00,45.00,4.59,1.13,-0.75,0.09,55.25,44.75,257.25,0.20,0.00,-78.12,0.09,5.44,0.09,3.60,323.65,90.48,7381.07,17.72,43.86,67.98,55.77,44.75,4.66,8.14,30.49,-1.65,-0.17,-5.52,13.10,463.68,463.68,202502
44092,219669288.00,169445498.00,20582743.00,28645661.00,0.00,0.00,62.00,36304.00,37.00,6.67,7.99,0.28,0.84,51.87,48.13,96.05,1.36,0.37,-37.54,0.84,0.74,0.84,4.90,207.94,441.89,4589.11,22.40,29.03,73.25,65.66,14.22,3.78,6.44,15.10,-2.21,10.65,-5.94,4.36,7.93,7.93,202502
44093,103573806.00,95016360.00,0.00,25935367.00,0.00,0.00,0.00,13001.00,45.00,2.99,11.58,0.70,1.52,3.21,96.79,88.39,1.57,0.00,-5.68,1.52,2.42,1.52,5.36,311.04,0.00,2065.73,6.76,47.99,62.96,57.40,22.95,2.60,9.03,34.24,-2.82,5.30,-7.77,20.57,0.00,0.00,202502
44094,95615599.00,46804180.00,130883.00,20432676.00,0.00,3.00,0.00,1207.00,46.00,3.68,15.65,4.53,1.72,90.28,9.72,43.13,5.31,1.33,-44.70,1.69,1.20,0.51,16.88,87.69,2.85,1021.62,19.58,63.01,37.27,68.49,16.10,4.39,1.89,23.41,-1.71,1.73,-9.53,1942.76,873.10,873.10,202502
44095,142416637.00,132743273.00,0.00,30478362.00,0.00,0.00,0.00,23315.00,34.00,3.67,2.72,-1.00,0.31,9.86,90.14,156.19,0.35,0.00,-55.74,0.29,1.52,0.31,5.04,308.14,0.00,5309.78,58.95,23.51,121.41,73.47,0.00,15.29,25.20,56.08,-2.28,-4.52,-10.22,0.00,0.00,0.00,202502
44096,392894349.00,326687002.00,0.00,34374031.00,0.00,0.00,0.00,1266.00,74.00,10.43,27.00,13.81,2.34,100.00,0.00,34.02,0.00,2.34,-53.08,2.01,8.87,2.34,2.69,182.05,0.00,4397.26,17.91,59.36,55.24,15.43,0.00,1.52,2.57,7.32,-0.44,1.67,-2.57,0.00,0.00,0.00,202502
44098,188455277.00,184173363.00,2056445.00,31299398.00,0.00,0.00,0.00,27035.00,30.00,5.02,2.35,-1.47,0.20,32.75,67.25,208.66,0.30,0.00,-60.76,0.20,0.45,0.20,3.32,285.20,66.67,6936.24,17.18,32.66,72.21,62.03,47.13,3.53,5.46,25.54,-2.00,1.80,-5.20,2.77,41.56,41.56,202502
44099,105762317.00,75692894.00,4872207.00,31846197.00,0.00,1.00,24.00,7761.00,61.00,2.32,6.23,1.41,0.57,41.25,58.75,23.66,0.43,0.77,-88.52,0.57,0.58,0.19,15.37,98.51,78.90,1235.61,-4.28,54.94,38.18,60.66,44.81,-1.67,0.12,29.83,-0.30,5.07,-15.15,9.19,12.58,12.58,202502
45030,1624033565.00,590705883.00,1381919798.00,126310908.00,0.00,7336238.00,10.00,2807356.00,49.00,7.18,21.47,-1.63,8.92,0.91,99.09,103.32,9.00,0.00,40.61,8.92,12.13,0.01,2.47,177.09,28180.59,12017.87,79.59,13.23,108.57,107.18,31.92,6.11,7.29,31.65,-11.67,-3.24,-4.70,51.43,9.07,51.66,202502
45056,49539352.00,31658201.00,32510482.00,8551534.00,0.00,57308.00,6995.00,40182.00,242.00,4.79,84.69,38.95,16.63,2.23,97.77,47.02,17.00,0.53,-27.10,16.62,9.02,13.16,16.50,-24.01,132.83,136.24,14.32,49.11,-35.13,70.53,34.07,2.78,1.52,20.74,-5.63,10.23,-28.39,12.07,13.75,13.74,202502
