código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00150,5588798757.00,1895890911.00,3109627797.00,1448114297.00,263839.00,1355778.00,0.00,0.00,0.00,2.44,-0.63,-2.06,2.05,51.25,48.84,175.44,2.72,1.42,98.85,2.02,22.18,1.41,14.61,118.43,1101.52,681.13,-1.37,59.96,55.41,41.74,21.11,-0.36,-1.15,27.51,-1.01,2.36,-12.35,48.89,37.19,47.27,202412
00165,475868442.00,66581101.00,115414699.00,342701734.00,48.00,111.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-99.68,0.00,3.40,0.00,28.17,469.18,692.65,402.59,0.64,82.83,75.32,27.25,18.20,0.47,5.37,63.47,0.00,5.69,-11.67,325.78,324.77,14.75,202412
00191,7590623588.00,1556719356.00,4660565276.00,2596100902.00,464913.00,3494549.00,0.00,0.00,0.00,1.88,-0.79,-0.88,0.29,81.58,18.59,585.22,1.22,0.08,51.92,0.29,13.20,0.22,10.36,294.53,998.86,328.12,17.41,51.09,74.42,42.96,32.06,6.30,6.30,34.62,-0.35,2.84,-9.15,29.54,21.16,29.54,202412
00198,1330038454.00,212369309.00,1126318094.00,136295881.00,1326.00,2120.00,0.00,0.00,0.00,8.67,-1.61,-1.61,0.00,99.59,0.41,982476.65,0.00,0.00,-40.93,0.00,39.25,0.00,3.35,267.38,3937.22,754.96,14.10,72.46,89.57,27.48,21.70,1.18,1.74,11.41,-0.21,0.85,-2.81,49.15,45.93,49.15,202412
00247,109243044.00,1620404.00,35492860.00,58625633.00,28601.00,8133.00,0.00,0.00,0.00,0.86,-0.01,-0.02,0.23,98.56,1.44,141.97,0.55,0.22,-72.76,0.10,1.26,0.23,35.05,337.50,196.93,9.02,15.23,52.84,79.11,58.57,9.71,8.59,9.82,48.67,-0.29,11.97,-13.22,8.97,3.87,8.97,202412
00254,521661561.00,112857387.00,208299568.00,133467249.00,770.00,1733.00,0.00,0.00,0.00,2.27,-0.79,-0.79,0.46,99.92,0.08,291.56,16.54,0.44,-0.26,0.42,6.59,0.46,9.47,131.97,1047.75,570.18,13.05,66.14,30.48,55.05,31.61,4.46,3.17,20.60,-0.41,0.75,-7.90,82.30,67.79,28.32,202412
00266,140150760.00,21693163.00,45222653.00,78713983.00,102.00,88.00,0.00,0.00,0.00,0.19,-0.01,-0.01,0.00,99.99,0.01,0.00,0.00,0.00,-81.80,0.00,7.72,0.00,43.99,205.47,538.18,260.37,17.74,76.48,84.29,35.02,27.50,7.53,11.07,48.27,0.00,8.23,-17.40,145.86,16.66,106.26,202412
00268,377163540.00,118759651.00,205028862.00,146197344.00,3074.00,94325.00,0.00,0.00,0.00,1.58,0.57,-0.43,2.11,10.69,89.31,123.99,1.19,9.71,0.27,2.11,3.27,1.88,14.19,245.67,604.25,316.44,25.53,70.86,76.23,64.83,21.69,10.21,10.39,40.97,-0.58,2.52,-12.41,16.14,6.01,16.14,202412
00269,9451028.00,231390.00,2990559.00,5844620.00,59.00,2673.00,0.00,0.00,0.00,0.62,-0.01,-0.01,0.26,41.47,58.53,393.69,0.44,0.00,0.00,0.09,27.98,0.00,85.66,-75.46,135.92,10.51,-93.01,59.39,-64.40,43.59,0.32,-40.91,-41.02,11.40,-0.01,-1.39,-37.54,226.12,88.64,220.89,202412
00277,62436757.00,33448914.00,33582701.00,20190451.00,262.00,724.00,0.00,0.00,0.00,1.92,0.53,-4.93,7.64,15.41,84.59,152.70,9.04,0.00,101.19,4.81,7.15,6.23,17.75,117.88,524.50,545.06,12.98,37.82,74.12,107.97,43.74,4.09,3.12,51.04,-3.63,0.87,-19.80,12.91,12.55,12.93,202412
