código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00266,138488004.00,2241480.00,57654435.00,54091233.00,76.00,77.00,3.00,1.00,81.00,1.30,0.00,0.00,0.00,99.99,0.01,0.00,0.00,0.00,-95.50,0.00,5.42,0.00,50.28,205.74,708.19,27.67,13.97,78.69,124.85,69.42,37.98,5.21,10.39,63.47,-0.01,11.34,-22.62,13.77,15.21,146.50,202405
00268,288713264.00,51859279.00,148271259.00,107842113.00,1838.00,85315.00,7645.00,25314.00,335.00,1.68,0.76,-0.16,3.20,11.84,88.16,110.25,1.51,15.78,0.31,3.20,4.17,2.86,18.73,333.24,437.79,126.43,29.50,72.05,114.58,81.40,30.61,12.05,12.64,58.81,-0.54,2.61,-14.04,8.11,8.11,32.64,202405
00269,5672869.00,1049779.00,2719211.00,2455669.00,48.00,2809.00,23.00,122.00,22.00,1.31,0.00,0.00,1.76,54.63,45.37,104.58,3.88,0.00,0.00,0.09,45.55,1.76,54.22,-71.47,123.51,47.71,-112.60,63.43,-69.97,67.60,0.73,-40.88,-40.93,12.69,-0.02,-1.51,-35.54,131.85,95.08,95.02,202405
00277,46265295.00,18620433.00,23923268.00,14846580.00,247.00,996.00,128.00,61358.00,65.00,2.13,-1.25,-7.02,6.68,12.85,87.15,229.78,7.66,0.01,181.79,3.75,5.30,5.25,23.55,165.80,361.33,294.03,-2.74,36.11,113.58,128.20,77.39,-0.73,-4.20,58.68,-3.79,1.22,-18.28,10.19,10.19,29.97,202405
00281,28972325.00,5240211.00,10210713.00,8980851.00,430.00,1028.00,536.00,602.00,77.00,1.97,-0.44,-0.47,1.11,96.60,3.40,161.99,0.25,1.14,16.98,0.82,13.53,0.89,48.74,35.77,129.78,66.20,1.35,64.12,28.80,59.19,43.04,0.37,1.15,28.80,-0.55,5.17,-22.20,43.42,35.64,43.92,202405
00285,10005327651.00,2696130483.00,5489905761.00,3103407010.00,748789.00,5959638.00,478790.00,3603924.00,7599.00,2.20,-0.08,-0.89,1.29,46.77,53.35,185.32,1.73,0.79,56.42,1.27,10.48,0.71,10.30,452.57,712.71,322.43,32.77,57.38,114.83,74.71,47.71,10.53,14.39,46.98,-0.77,2.15,-8.15,89.62,90.29,24.17,202405
00299,1834123614.00,430996310.00,1346389218.00,245304180.00,51187.00,489089.00,27847.00,193951.00,1459.00,6.16,-0.49,-1.82,0.52,88.56,11.59,271.13,2.98,0.20,34.46,0.45,14.51,0.39,11.58,175.48,915.67,293.40,41.81,53.22,140.45,67.82,62.84,5.93,8.72,34.37,-0.42,2.42,-11.35,50.94,51.19,49.82,202405
00300,1047975912.00,222807169.00,456991509.00,342040523.00,0.00,0.00,77.00,10415.00,447.00,2.05,0.44,-0.45,0.60,101.40,0.00,219.33,0.00,0.59,-16.41,0.52,3.74,0.13,8.59,707.45,995.23,476.71,6.30,70.77,115.87,35.07,52.27,1.89,3.68,45.81,-0.65,0.07,-4.92,57.93,54.99,73.66,202405
00301,195871074.00,32920203.00,142567457.00,39491459.00,108137.00,400793.00,15390.00,20.00,649.00,3.71,4.93,3.05,4.04,33.28,66.72,39.70,6.05,0.00,-56.15,4.04,21.07,1.75,31.54,65.98,217.98,47.75,26.10,53.62,102.14,98.63,32.17,3.62,3.82,36.46,-0.72,2.88,-21.47,30.98,30.98,34.03,202405
00305,23232970.00,4304485.00,11219390.00,10291998.00,473.00,807.00,107.00,704.00,82.00,1.23,0.55,0.54,6.85,99.82,0.18,82.92,0.00,6.86,0.71,6.85,6.60,2.59,38.10,175.59,135.23,52.83,6.73,58.46,101.50,111.96,37.74,2.49,5.59,61.74,-1.32,3.63,-21.40,75.45,75.45,65.19,202405
00309,139173946.00,43723767.00,68851924.00,61879621.00,1220.00,188184.00,9092.00,65661.00,341.00,1.25,7.90,6.81,11.06,65.21,34.92,39.12,1.86,15.97,-43.52,11.05,3.26,4.55,27.60,158.83,199.77,131.69,-0.60,44.33,78.74,71.51,25.61,-0.22,3.01,49.21,-3.61,1.55,-17.85,17.58,17.58,6.59,202405
00310,135518618.00,21527678.00,91061755.00,36218811.00,637.00,171971.00,12754.00,70770.00,277.00,2.74,63.36,39.36,13.13,33.10,66.90,53.20,18.21,2.87,0.10,12.87,4.47,6.10,32.70,2.97,325.12,73.40,-24.56,45.31,2.93,123.43,50.48,-6.59,-2.55,32.87,-1.69,-0.50,-26.46,44.22,44.14,43.09,202405
00311,625724641.00,134540461.00,425542851.00,140267273.00,7196.00,960758.00,60098.00,533875.00,717.00,3.46,0.33,-1.90,2.20,44.72,57.52,161.33,2.46,1.76,60.78,2.15,7.97,0.74,21.82,104.41,583.07,192.40,12.03,50.66,92.50,79.64,48.00,2.55,3.00,35.77,-0.77,3.53,-18.82,11.71,11.71,58.69,202405
00312,57589376.00,11841771.00,40937946.00,8276136.00,135.00,1405.00,937.00,79195.00,66.00,5.96,5.29,2.58,3.70,9.33,90.67,49.85,3.96,1.09,-27.17,3.70,0.49,0.95,21.34,-241.99,607.24,134.21,-91.74,58.22,-234.21,125.24,84.32,-14.72,-12.99,-14.89,-0.33,-2.30,-15.53,19.78,19.78,10.52,202405
00315,503386655.00,52649376.00,349673923.00,111671859.00,44540.00,589478.00,14079.00,122788.00,551.00,3.51,3.04,0.84,4.43,28.65,71.35,64.82,4.72,3.71,-1.45,4.40,22.42,2.80,23.20,130.70,632.88,91.81,23.50,43.68,125.52,87.87,16.64,4.97,9.96,47.01,-0.51,1.67,-20.32,32.27,32.27,46.60,202405
00319,408220656.00,81051553.00,209326914.00,133262285.00,978.00,1775.00,92.00,103.00,183.00,1.82,-2.81,-2.81,0.00,100.00,0.00,0.00,0.00,0.00,304.34,0.00,9.75,0.00,11.31,403.80,1140.40,461.67,30.61,61.42,106.20,108.97,57.47,9.83,15.62,47.66,-1.21,0.69,-8.44,78.06,78.06,41.26,202405
00321,876684503.00,88204223.00,486457046.00,340076504.00,9745.00,1218137.00,29959.00,590016.00,638.00,1.58,3.02,0.46,6.49,7.83,92.17,74.95,6.13,10.69,1.22,6.47,8.24,3.34,13.38,496.02,751.78,140.18,-10.59,27.68,104.46,76.23,41.45,-4.39,-0.36,50.26,-0.46,2.57,-8.72,14.85,14.85,87.60,202405
00322,1904730824.00,183782215.00,1435073926.00,206613947.00,15956.00,873005.00,10309.00,163223.00,729.00,8.21,-5.98,-6.41,0.66,93.62,6.38,761.13,3.50,0.46,311.78,0.52,7.93,0.08,10.33,207.61,1921.55,264.36,35.12,32.64,141.21,70.40,73.81,5.89,14.69,41.87,-2.47,3.90,-11.41,46.88,46.97,57.69,202405
00330,1944943116.00,570403558.00,1451175549.00,307881510.00,60559.00,1415458.00,105277.00,1430749.00,1668.00,5.13,-0.25,-1.00,0.59,62.94,37.06,198.14,1.16,0.25,-12.41,0.54,13.38,0.46,11.11,123.59,852.95,328.53,17.76,49.91,42.14,77.07,52.30,4.57,6.58,21.91,-0.50,1.28,-8.78,47.67,45.60,17.56,202405
00331,1180028.00,727552.00,0.00,879944.00,0.00,0.00,0.00,0.00,5.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,0.00,283.66,-55.20,0.00,145.40,-208.15,32.05,-69.91,96.69,0.00,-147.80,-147.80,45.01,0.00,-0.03,-89.94,0.00,0.00,0.00,202405
00332,93965970.00,78930530.00,0.00,17301389.00,0.00,0.00,0.00,510708.00,185.00,4.43,77.70,33.91,13.00,0.00,100.00,55.13,13.00,0.00,5.87,13.00,0.12,11.59,32.96,19.73,0.00,431.87,-55.38,33.26,22.27,71.00,108.99,-14.28,-15.02,33.42,-10.63,19.56,-29.11,0.28,0.00,0.00,202405
00338,311513885.00,52427038.00,142548145.00,85996724.00,807.00,602.00,80.00,4145.00,128.00,2.45,-2.83,-2.83,0.09,99.44,0.56,2858.82,0.16,0.09,183.28,0.09,8.77,0.09,24.68,363.13,1099.67,387.92,113.48,43.89,326.15,86.21,44.93,21.70,41.65,85.32,-2.20,2.58,-17.17,120.28,120.28,37.65,202405
00339,75554104.00,67730177.00,20921566.00,33635544.00,3.00,0.00,44.00,14218.00,19.00,1.25,-0.32,-0.32,0.00,100.00,0.00,0.00,0.00,0.00,-80.77,0.00,8.73,0.00,7.00,692.90,1056.47,3526.44,-22.04,22.10,104.97,104.52,79.07,-8.45,-8.12,54.09,-0.36,-0.28,-5.81,87.63,31.52,31.52,202405
00340,96507866.00,26418136.00,68612083.00,19696465.00,0.00,69.00,8.00,109.00,68.00,3.80,-0.20,-0.20,0.09,99.98,0.02,488.99,17.34,0.09,-57.08,0.03,17.28,0.09,13.50,149.52,982.86,388.53,40.38,74.71,119.56,87.50,85.92,3.50,4.23,23.75,-0.07,0.23,-6.93,48.82,49.33,27.82,202405
00341,24283401.00,2635888.00,15322238.00,6100457.00,382.00,9366.00,0.00,0.00,0.00,2.98,3.37,1.13,10.35,35.81,64.19,75.85,12.36,6.75,2.79,10.35,20.48,6.41,31.29,-20.21,146.84,24.08,-25.16,66.04,-14.94,92.83,48.18,-6.49,-10.00,14.57,-0.82,2.48,-19.07,32.47,32.47,32.47,202405
00384,69618251.00,1455748.00,61778921.00,5569087.00,0.00,602075.00,40365.00,7253.00,63.00,11.50,0.32,-0.28,0.63,0.22,99.78,224.31,0.41,100.00,10.25,0.63,15.95,0.22,14.10,11.36,953.88,23.38,-98.12,41.83,11.34,35.93,33.21,-18.80,-18.80,26.14,-0.08,-1.95,-19.13,86.09,86.09,22.85,202405
00386,970781748.00,221954532.00,572384407.00,257215189.00,23223.00,804814.00,53398.00,675005.00,742.00,2.54,-0.07,-0.50,0.65,57.60,42.40,181.90,1.09,0.33,-12.09,0.53,4.52,0.65,13.60,338.20,754.90,291.50,32.56,46.76,116.67,71.80,49.63,8.77,15.59,42.93,-0.41,2.13,-9.29,39.27,38.74,10.39,202405
00389,337137222.00,53986635.00,95584777.00,65962007.00,1133.00,440615.00,27806.00,202781.00,750.00,1.90,7.12,2.47,9.05,13.71,86.29,72.18,10.35,0.84,23.30,9.05,10.91,6.09,42.06,-51.91,124.92,69.72,135.23,61.90,-97.03,104.88,65.84,16.58,18.73,12.85,-2.43,3.80,-22.92,21.85,21.85,29.49,202405
00426,86902327.00,31661054.00,51539810.00,24623187.00,4236.00,58359.00,5262.00,170143.00,187.00,2.53,0.08,-0.64,0.89,57.02,42.98,154.18,1.82,0.19,-5.92,0.89,11.81,0.11,18.10,185.71,272.16,164.48,18.30,57.77,109.57,89.26,60.22,4.13,6.42,39.13,-0.64,4.12,-13.33,19.92,19.92,39.03,202405
00431,115492328.00,25763562.00,76271666.00,28914040.00,3778.00,17024.00,2179.00,47197.00,204.00,2.99,-1.06,-1.28,1.15,81.28,18.72,212.85,1.55,1.06,40.06,1.15,18.49,0.89,23.89,147.02,371.79,123.02,45.53,36.56,145.98,86.70,43.18,9.49,17.45,59.64,-1.73,0.39,-20.69,41.40,41.40,51.39,202405
00432,47923441.00,13957805.00,14135073.00,19945191.00,1433.00,1228.00,105.00,26409.00,111.00,1.40,-0.42,-0.52,0.55,91.61,8.39,234.23,4.92,0.15,7.90,0.49,7.56,0.02,28.45,368.76,126.67,121.07,68.41,53.48,193.29,94.73,52.26,20.19,25.87,75.28,-0.47,3.78,-15.47,134.65,126.97,40.31,202405
00435,4953633.00,495390.00,591536.00,4175297.00,32.00,550.00,218366.00,308.00,3.00,0.19,5.73,0.84,16.87,85.33,14.67,62.67,4.42,19.01,0.00,16.87,11.12,16.54,222.33,231.79,196.00,155.86,19.98,10.17,126.10,140.55,4.64,11.49,6.51,109.88,-1.39,0.27,-31.28,93.11,93.11,651.49,202405
00448,33246474.00,4362168.00,21247877.00,9030030.00,172.00,6633.00,804.00,59818.00,38.00,2.64,-0.25,-0.37,1.07,56.55,43.45,169.84,1.81,0.51,16.54,1.07,6.90,0.30,12.96,353.65,549.94,112.97,-48.46,49.65,85.37,81.82,107.45,-13.63,-12.74,30.83,-0.18,1.13,-6.79,10.68,10.68,10.68,202405
44077,64255950.00,22724088.00,38647551.00,15331897.00,0.00,249683.00,3210.00,183044.00,410.00,3.09,21.08,8.05,21.31,0.01,99.99,83.52,21.31,32.51,0.54,21.31,8.87,21.30,44.26,-42.67,92.15,57.93,-29.51,41.72,-72.39,112.79,63.88,-5.60,-12.56,30.89,-9.44,2.05,-32.18,14.40,14.40,40.87,202405
44088,118687627.00,109859564.00,285309.00,41384526.00,0.00,0.00,1.00,10693.00,46.00,1.87,0.06,-0.19,0.28,77.63,22.37,123.12,1.23,0.01,-70.34,0.28,0.90,0.28,7.73,572.10,6.09,2481.07,13.11,42.01,127.20,113.98,100.88,4.28,6.69,55.68,-1.29,3.88,-7.26,3.64,373.11,373.11,202405
44090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-100.00,0.00,1.84,0.00,22042.88,-6.71,3.54,0.00,6.51,30.04,-1.33,5269.44,43.42,4.30,-18.56,13.79,-0.01,-0.43,-13.04,2099.23,2099.23,48177.33,202405
44092,84452847.00,48083474.00,12202736.00,18524304.00,0.00,0.00,23.00,31074.00,37.00,3.56,4.45,-0.06,0.93,69.89,30.11,101.38,2.11,0.43,-35.64,0.93,0.22,0.93,13.05,288.79,223.95,1030.66,1.14,29.00,98.71,125.82,80.81,0.26,-0.59,27.05,-2.38,12.49,-7.81,1.00,1.55,1.55,202405
44093,30565531.00,19384927.00,6400418.00,18205710.00,0.00,1.00,0.00,8305.00,46.00,0.68,1.11,-0.49,0.80,9.44,90.56,148.88,0.88,0.00,-11.08,0.80,5.71,0.80,15.44,432.81,138.56,400.09,-26.90,52.43,79.85,82.93,60.55,-15.99,-18.58,59.02,-0.81,6.67,-10.97,27.25,27.25,92.74,202405
