código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00254,314971114.00,47515497.00,100559749.00,104621453.00,609.00,1721.00,145.00,279.00,192.00,1.85,-0.43,-0.43,0.73,99.41,0.59,190.09,4.07,0.71,-0.20,0.73,5.22,0.72,17.31,434.23,510.54,238.45,58.70,68.02,109.50,90.55,55.91,19.71,26.81,51.12,-0.39,1.05,-8.47,97.69,97.69,64.88,202407
00259,1301352940.00,355161069.00,810275509.00,365296873.00,121546.00,1339137.00,28231.00,7280.00,1348.00,2.66,-2.26,-2.65,1.34,80.25,19.76,227.22,1.81,1.23,85.49,1.34,29.82,1.30,8.89,195.33,581.34,231.19,7.12,49.15,57.77,52.20,25.37,1.64,1.84,25.01,-3.10,1.34,-6.82,88.48,88.18,55.23,202407
00266,128845334.00,11012687.00,29763146.00,62820062.00,72.00,75.00,2.00,1.00,81.00,-0.08,0.00,0.00,0.00,99.89,0.11,0.00,0.00,0.00,-2.93,0.00,27.44,0.00,77.01,224.52,366.04,135.80,20.56,78.10,126.87,57.77,36.12,7.60,12.20,61.04,-0.01,11.96,-20.88,112.15,98.07,238.55,202407
00268,314611374.00,60351529.00,166942010.00,124016177.00,1886.00,84724.00,7430.00,26004.00,334.00,1.54,0.49,-0.06,3.34,11.38,88.62,103.45,1.87,14.77,0.36,3.34,3.80,2.96,17.32,351.43,494.08,149.86,36.40,72.47,114.71,80.73,28.01,14.99,15.53,58.72,-0.50,2.49,-13.44,7.14,7.14,23.99,202407
00269,6433582.00,1369912.00,2875683.00,3049002.00,48.00,2736.00,24.00,123.00,22.00,1.11,0.00,-0.01,1.35,50.92,49.08,121.64,2.75,0.00,-0.08,0.07,42.86,0.00,51.67,-72.80,130.68,62.25,-109.30,64.11,-67.62,54.60,0.57,-40.98,-41.04,11.94,-0.03,-1.47,-34.82,141.14,95.94,95.89,202407
00277,54612556.00,21002149.00,31242971.00,16342689.00,247.00,731.00,110.00,55376.00,64.00,2.35,0.61,-4.05,8.18,13.53,86.47,152.34,9.46,0.00,105.53,5.10,4.26,6.17,20.25,160.50,470.81,330.57,2.99,36.17,106.03,127.14,68.98,0.82,-2.70,57.78,-4.17,1.03,-18.21,7.41,7.41,12.28,202407
00281,31086821.00,2887890.00,10579059.00,9894380.00,416.00,1062.00,512.00,556.00,76.00,1.63,-0.63,-0.64,1.02,84.25,15.75,195.52,0.05,1.20,28.32,0.95,15.26,0.83,58.67,33.60,135.66,37.83,2.95,63.73,26.38,56.46,38.53,0.86,1.63,28.89,-0.42,5.34,-22.97,37.91,37.91,57.72,202407
00285,9782406856.00,3586959138.00,5286573183.00,3313594649.00,752371.00,6030183.00,334670.00,3675059.00,7627.00,1.82,-0.01,-0.79,1.16,49.32,50.70,161.50,1.74,0.55,25.33,1.13,12.93,0.68,10.25,423.40,689.39,438.46,25.48,57.73,104.97,70.41,41.91,8.55,11.75,45.40,-0.75,2.13,-8.32,38.57,38.57,26.94,202407
00299,1325960109.00,338473326.00,800319196.00,270872307.00,52377.00,486445.00,24343.00,192483.00,1455.00,2.46,-0.88,-2.17,0.57,85.96,14.52,316.38,2.91,0.18,69.62,0.54,22.77,0.43,18.43,172.90,544.38,230.75,32.02,52.02,128.69,62.39,56.58,4.74,7.02,32.69,-0.46,2.49,-11.02,40.53,40.28,57.48,202407
00300,1112477591.00,229840816.00,471982133.00,371627736.00,0.00,0.00,72.00,9754.00,355.00,1.93,0.40,-0.42,0.63,101.21,0.00,214.82,0.00,0.62,-16.66,0.53,3.84,0.18,8.70,698.26,1042.98,492.94,2.81,71.54,110.81,35.50,49.41,0.85,2.57,43.99,-0.53,0.10,-4.83,101.16,97.41,23.92,202407
00301,233022107.00,35811098.00,149342066.00,42939722.00,104340.00,384877.00,13645.00,6.00,645.00,4.03,4.99,2.90,4.13,30.47,69.53,41.89,5.94,0.00,-52.89,4.13,22.99,1.73,32.00,63.12,229.16,51.78,17.89,53.15,93.07,104.28,29.97,2.70,2.95,36.44,-0.43,3.07,-22.27,62.42,62.42,39.14,202407
00305,32208966.00,6170676.00,19815537.00,10636861.00,505.00,818.00,94.00,619.00,82.00,2.02,3.20,-0.70,1.58,99.85,0.15,170.73,0.00,1.59,1.08,1.58,6.91,1.58,25.39,150.73,240.95,74.03,-0.38,59.93,89.29,108.43,30.50,-0.14,1.79,54.22,-0.48,3.33,-21.13,46.32,46.32,68.42,202407
00309,153810427.00,53946803.00,79921568.00,63370206.00,1502.00,192831.00,7234.00,71405.00,342.00,1.30,5.16,3.48,11.24,60.77,39.26,71.13,2.90,16.61,-10.82,11.22,3.18,6.95,25.26,124.66,232.72,168.53,-13.36,43.16,64.02,69.14,23.56,-4.99,-2.23,47.23,-4.92,1.66,-19.18,12.50,12.50,31.79,202407
00310,158758572.00,42207902.00,110428946.00,40944982.00,727.00,185239.00,6762.00,73187.00,291.00,2.88,41.89,24.27,7.39,32.43,67.57,62.30,9.96,2.04,0.03,7.31,3.01,3.82,26.74,-3.36,396.28,148.50,-26.69,44.95,-3.41,89.62,41.62,-7.29,-4.20,32.34,-1.91,-0.53,-27.68,21.41,21.41,16.91,202407
00311,694206725.00,225813823.00,474732423.00,157198239.00,6110.00,946061.00,48664.00,667138.00,720.00,2.35,-1.78,-2.63,1.54,40.91,60.43,182.15,1.65,1.32,54.43,1.52,12.20,0.58,18.77,96.86,653.46,318.19,9.23,50.38,84.20,76.57,41.92,2.05,1.96,35.23,-0.82,3.59,-19.28,13.52,13.52,48.86,202407
00312,66577874.00,13126504.00,46446029.00,9911228.00,141.00,16165.00,913.00,82075.00,65.00,5.60,10.78,1.02,2.64,4.16,95.84,71.14,2.66,2.02,-17.89,2.64,5.37,0.65,19.88,-210.90,692.30,157.65,-74.94,55.84,-228.48,113.14,75.48,-11.23,-9.62,-11.24,-0.32,-2.51,-16.24,22.23,22.23,29.03,202407
00315,557691589.00,62733688.00,382784941.00,125315166.00,44802.00,607868.00,10047.00,132884.00,549.00,2.40,1.79,0.42,3.64,28.67,71.33,77.74,3.65,3.61,4.13,3.53,16.49,2.26,21.76,139.64,693.49,110.66,22.81,43.25,123.05,90.11,13.47,4.92,9.88,45.29,-0.45,1.72,-19.00,18.37,18.37,51.87,202407
00319,472011044.00,102033927.00,226426951.00,144714755.00,1034.00,1724.00,54.00,12.00,188.00,1.72,-3.17,-3.17,0.03,100.00,0.00,8594.58,0.00,0.03,300.87,0.03,12.57,0.00,11.01,385.12,1231.51,581.15,25.32,61.02,99.85,97.71,52.16,8.09,13.39,44.99,-1.34,0.67,-8.29,77.70,77.70,45.50,202407
00321,975397722.00,115097494.00,546334216.00,379661618.00,9919.00,1291663.00,0.00,0.00,0.00,1.57,2.64,0.48,6.05,10.92,89.08,75.46,5.88,7.49,1.77,6.04,10.36,3.52,12.63,442.66,848.23,183.33,-10.58,27.23,95.75,82.21,37.56,-4.38,-3.35,47.01,-0.46,2.43,-8.96,18.49,18.49,74.59,202407
00322,1226215915.00,279268920.00,780924732.00,236652206.00,16942.00,1810664.00,8021.00,206966.00,753.00,4.03,-5.76,-6.03,0.88,92.00,8.00,566.14,2.68,0.73,267.99,0.61,6.77,0.25,16.89,202.89,1027.94,390.14,36.71,32.48,134.34,61.09,73.59,6.23,13.64,40.33,-2.03,4.22,-11.24,62.91,62.52,14.45,202407
00330,2128129627.00,588195932.00,1616205805.00,338483593.00,63818.00,1337953.00,0.00,0.00,0.00,5.20,-0.08,-0.74,0.60,59.88,40.12,159.11,1.16,0.22,-27.32,0.57,10.88,0.45,10.94,110.98,957.94,343.94,12.70,48.96,41.06,74.57,47.57,3.20,4.78,21.95,-0.51,1.28,-9.32,37.77,37.82,18.66,202407
00331,3515829.00,2756175.00,0.00,3125956.00,0.00,0.00,0.00,0.00,5.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,0.00,79.41,-57.50,0.00,550.80,-187.10,31.04,-63.67,81.43,0.00,-145.91,-145.91,41.05,0.00,-0.04,-86.36,0.00,0.00,0.00,202407
00332,109961014.00,92409674.00,0.00,19891508.00,0.00,0.00,0.00,513709.00,181.00,4.53,69.78,40.69,14.31,0.00,100.00,51.85,14.31,0.00,5.76,14.31,0.64,12.53,30.97,18.04,0.00,514.13,-57.09,33.21,23.01,68.80,106.99,-13.08,-12.88,32.49,-11.26,20.68,-29.21,1.49,0.00,0.00,202407
00338,370259435.00,75458096.00,153506492.00,100857937.00,828.00,594.00,100.00,6512.00,133.00,1.91,-1.54,-1.54,0.07,99.61,0.39,1800.82,0.14,0.07,41.68,0.07,8.24,0.07,20.79,399.01,1137.68,557.77,102.04,43.77,274.11,76.54,39.34,21.83,38.78,77.52,-1.63,2.89,-14.70,96.20,96.20,40.37,202407
00339,73699924.00,63786985.00,22491134.00,36547497.00,3.00,0.00,33.00,16278.00,19.00,1.02,-0.18,-0.18,0.00,100.00,0.00,0.00,0.00,0.00,-89.18,0.00,12.22,0.00,7.01,664.21,1158.78,3357.54,-29.29,25.15,95.52,100.15,71.75,-12.06,-13.22,52.59,-0.01,-0.32,-5.92,113.54,40.04,40.04,202407
00340,190132887.00,29993253.00,145279441.00,22333932.00,0.00,72.00,8.00,115.00,70.00,4.10,-0.33,-0.33,0.06,99.99,0.01,818.61,20.07,0.06,-48.55,0.03,1.48,0.06,8.01,153.89,2092.38,441.54,41.30,74.86,115.67,72.34,79.43,3.88,4.42,23.93,-0.09,0.19,-7.06,17.99,18.05,59.69,202407
00341,25185685.00,3395461.00,15725753.00,6363251.00,373.00,9381.00,0.00,0.00,0.00,2.96,2.73,1.15,9.43,42.54,57.46,78.11,13.26,4.25,2.78,9.43,22.43,5.97,31.24,-10.41,151.33,31.54,-32.83,64.88,-7.96,94.53,41.74,-8.54,-7.59,17.97,-0.87,1.64,-19.88,35.92,35.92,44.42,202407
00384,136770114.00,3187641.00,124412600.00,8974120.00,0.00,727003.00,33406.00,10790.00,60.00,14.24,0.26,-0.33,0.80,15.65,84.35,254.75,0.75,1.06,54.08,0.80,1.30,0.17,7.85,23.64,1950.98,50.59,-83.37,40.24,28.35,28.13,30.80,-10.57,-10.57,22.73,-0.08,-1.64,-15.21,66.56,66.56,31.39,202407
