código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
44096,260393543.00,208688229.00,0.00,22220733.00,0.00,0.00,0.00,1699.00,74.00,10.72,14.59,3.24,2.19,100.00,0.00,84.99,0.00,2.19,8.85,2.03,9.70,2.19,3.58,110.00,0.00,2805.72,-52.72,58.65,34.69,21.61,0.00,-4.18,-1.40,5.27,-0.18,1.78,-2.50,137748.41,0.00,0.00,202407
44098,98312581.00,86900116.00,5050565.00,21914407.00,0.00,0.00,0.00,23504.00,30.00,3.31,-0.07,-0.44,0.11,56.46,43.54,202.31,0.24,0.00,-79.04,0.11,0.90,0.11,5.65,391.88,166.67,2991.22,-11.33,30.70,90.71,102.47,115.85,-3.09,-2.75,38.66,-1.34,1.85,-6.31,2.35,17.44,17.44,202407
44099,55273372.00,36447108.00,2948310.00,26124474.00,0.00,1.00,22.00,6880.00,61.00,1.12,0.85,0.63,0.58,52.95,47.05,42.44,0.52,0.64,-78.24,0.55,0.74,0.15,24.96,18.83,46.82,582.36,-47.60,55.92,9.97,82.09,97.21,-16.03,-15.10,20.98,-0.39,6.08,-17.83,112.30,13.94,13.94,202407
45030,610659115.00,252063135.00,520563124.00,59140680.00,0.00,5485192.00,10.00,2445705.00,50.00,8.10,29.95,10.14,11.67,0.00,100.00,82.84,11.67,0.00,0.00,11.67,7.77,0.23,4.38,167.16,10397.47,4830.57,89.09,15.35,158.66,137.19,59.00,7.50,8.37,40.72,-8.46,-5.27,-7.99,8.01,8.05,32.07,202407
45056,27335377.00,14381502.00,17807713.00,5846040.00,0.00,53417.00,6926.00,37643.00,238.00,3.67,53.29,25.53,18.34,4.60,95.40,49.49,19.11,2.29,-27.83,18.32,8.55,15.20,25.36,-50.79,74.22,63.44,-22.73,51.31,-67.29,73.86,65.75,-4.76,-5.46,14.13,-4.80,7.69,-27.75,12.30,13.13,17.30,202407
45072,58446895.00,18526547.00,51597339.00,5431852.00,0.00,901024.00,6301.00,1840.00,161.00,9.75,10.28,4.78,3.75,82.28,17.72,70.26,10.45,2.31,-24.07,3.64,33.33,1.66,27.21,25.43,336.70,120.53,39.33,36.76,83.99,95.20,36.73,3.58,2.56,33.61,-0.83,9.06,-30.09,40.13,37.84,53.76,202407
65203,6950415.00,2482614.00,2757372.00,2638894.00,0.00,725.00,241.00,19074.00,90.00,1.10,15.27,9.37,35.62,13.64,86.36,72.39,40.85,2.47,1.99,35.62,9.32,29.38,75.34,-70.77,27.34,22.01,-103.14,62.62,-99.05,87.78,68.62,-31.63,-37.30,29.05,-12.19,-1.35,-42.92,19.62,19.62,31.51,202407
AA000,158830020233.00,46283927406.00,98267766895.00,43643105425.00,8155557.00,102440251.00,4858674.00,36872800.00,98668.00,2.44,0.20,-1.10,1.60,57.52,42.61,156.00,2.64,0.83,48.76,1.65,13.96,1.08,9.72,363.42,988.35,419.01,28.62,56.97,120.86,74.97,45.58,6.90,6.90,39.86,-1.25,1.37,-8.02,31.03,30.90,31.71,202407
AA100,157207803091.00,45333181159.00,97588567215.00,43363674487.00,8155557.00,95757661.00,4842551.00,34128186.00,97348.00,2.42,0.14,-1.13,1.53,57.75,42.38,160.59,2.50,0.82,51.85,1.59,14.04,1.07,9.73,366.08,995.02,414.66,28.84,57.19,121.18,74.75,45.52,6.97,6.97,39.93,-1.23,1.37,-8.00,31.14,31.01,31.67,202407
AA110,65312130918.00,16539974022.00,42107590446.00,19608219303.00,2014289.00,39456088.00,2272277.00,11926045.00,39487.00,2.20,0.47,-0.79,1.82,51.43,48.69,142.88,2.06,1.58,50.13,2.02,10.23,1.15,8.01,509.94,1076.20,325.58,40.53,70.50,133.24,91.38,50.15,9.81,9.81,42.11,-1.32,-0.10,-6.33,21.43,21.39,27.46,202407
AA120,91895672173.00,28793207137.00,55480976769.00,23755455184.00,6141268.00,56301573.00,2570274.00,22202141.00,57861.00,2.61,-0.14,-1.42,1.38,61.12,39.01,175.26,2.79,0.48,53.05,1.35,16.81,1.03,10.85,296.20,941.59,473.28,20.58,50.73,112.66,66.67,41.91,4.97,4.97,38.39,-1.16,2.42,-9.18,38.50,38.31,34.86,202407
AA121,48573962431.00,13297134612.00,29593232004.00,12648251576.00,2016449.00,34034996.00,1567675.00,15084143.00,33523.00,2.64,0.04,-1.22,1.42,60.46,39.60,168.82,2.76,0.53,48.58,1.37,15.44,0.89,11.07,300.06,870.57,378.19,24.56,51.89,114.54,71.13,47.37,5.87,8.79,38.51,-1.08,2.22,-9.12,40.03,39.92,32.96,202407
AA123,39092489900.00,14583451055.00,24268184918.00,9240548951.00,4122558.00,22262941.00,1002539.00,7100401.00,22961.00,2.90,0.02,-1.54,1.44,59.12,40.90,163.81,2.82,0.48,47.18,1.42,17.75,1.23,10.10,261.94,1031.87,602.04,22.20,50.07,110.28,61.84,38.06,4.88,4.88,35.61,-1.31,2.51,-9.26,31.93,31.72,34.02,202407
AA124,4229219842.00,912621470.00,1619559847.00,1866654657.00,2261.00,3636.00,60.00,17597.00,1377.00,0.92,-2.13,-2.13,0.00,103.10,0.00,4084998.46,2.73,0.00,322.89,0.00,24.69,0.00,18.70,538.73,1147.46,619.46,-7.61,44.51,112.11,82.33,5.98,-3.34,-2.92,59.80,-0.82,3.61,-9.15,109.20,107.68,82.06,202407
AA200,1622217142.00,950746247.00,679199680.00,279430938.00,0.00,6682590.00,16123.00,2744614.00,1320.00,4.22,9.76,2.85,4.51,47.64,52.36,83.95,7.68,1.03,-7.45,4.42,6.62,1.43,9.08,127.71,505.44,734.05,-4.27,37.58,72.36,84.36,58.93,-0.78,-0.78,31.83,-3.75,0.74,-10.32,16.47,15.30,37.69,202407
AA210,774419281.00,313573809.00,637110122.00,89225912.00,0.00,6682585.00,16056.00,2632672.00,948.00,5.60,22.91,8.39,12.31,4.13,95.87,80.53,12.74,2.31,-1.64,12.29,9.51,2.64,9.95,47.00,668.53,320.04,30.50,32.23,53.54,124.59,56.96,4.04,4.04,36.67,-7.35,-2.04,-15.10,10.89,10.77,33.65,202407
AA220,847797861.00,637172438.00,42089558.00,190205026.00,0.00,5.00,67.00,111942.00,372.00,3.43,2.51,-0.21,0.90,67.76,32.24,105.57,0.71,0.99,-27.97,0.88,4.16,0.87,7.93,262.13,96.63,1771.81,-19.95,46.49,80.84,71.59,81.01,-4.37,-2.84,28.21,-1.07,2.82,-6.76,44.72,83.91,98.89,202407
AA910,74887246326.00,25469736041.00,44626829015.00,19835053736.00,5613949.00,39285426.00,2061588.00,16986238.00,43610.00,2.53,-0.22,-1.55,1.33,60.08,40.05,181.89,2.64,0.46,56.79,1.31,17.33,1.00,10.20,323.00,1005.51,555.41,21.50,50.76,115.54,64.85,40.05,5.34,7.79,39.45,-1.23,2.50,-8.88,41.17,34.53,34.48,202407
