código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00247,92654157.00,754100.00,29025835.00,52163837.00,22285.00,7917.00,0.00,0.00,0.00,0.78,0.00,0.00,0.24,98.68,1.32,102.50,0.52,0.24,-78.88,0.15,3.81,0.24,42.77,464.44,171.48,4.52,19.98,50.86,117.17,70.57,17.29,11.12,16.50,72.62,-0.23,9.64,-14.04,22.88,12.17,22.88,202409
00254,341323956.00,46850009.00,132290051.00,121308215.00,611.00,1685.00,0.00,0.00,0.00,1.29,-0.35,-0.35,0.86,99.85,0.15,181.08,18.21,0.83,-0.44,0.78,12.92,0.86,15.65,399.81,675.67,236.83,55.99,67.34,95.56,80.12,45.16,20.06,25.21,47.88,-0.38,0.92,-8.56,111.13,88.93,45.27,202409
00259,1306006213.00,323648588.00,773510506.00,400460867.00,120997.00,1317000.00,0.00,0.00,0.00,2.09,-1.09,-1.47,1.64,73.19,26.86,169.73,1.81,1.57,47.35,1.62,22.33,1.60,20.17,133.50,567.19,228.47,9.49,52.70,72.26,74.89,31.72,2.42,1.31,35.67,-2.93,2.63,-13.81,51.81,44.34,43.96,202409
00266,142123940.00,13867590.00,43534401.00,69062256.00,68.00,74.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,99.99,0.01,0.00,0.00,0.00,-90.64,0.00,11.73,0.00,54.26,239.93,533.33,170.67,25.02,77.02,119.68,51.58,33.79,9.59,14.85,56.46,-0.01,13.01,-19.12,187.89,74.69,118.85,202409
00268,356941189.00,81765367.00,198302908.00,137522536.00,1999.00,83872.00,0.00,0.00,0.00,1.60,0.34,-0.20,2.71,11.87,88.13,111.75,1.50,11.72,0.28,2.71,3.77,2.42,15.35,336.17,588.83,212.86,37.24,71.49,108.84,79.53,25.80,15.31,15.79,56.14,-0.55,2.50,-13.31,20.31,6.78,20.31,202409
00269,6129084.00,274851.00,2824306.00,2728282.00,48.00,2594.00,0.00,0.00,0.00,1.25,0.00,0.00,1.50,53.30,46.70,108.61,3.22,0.00,0.00,0.42,38.75,1.50,78.87,-74.81,128.33,12.51,-104.51,61.82,-68.97,49.59,0.44,-41.10,-41.17,11.52,-0.02,-1.50,-36.25,128.10,84.16,120.96,202409
00277,51588670.00,23508614.00,27254702.00,18230600.00,223.00,703.00,0.00,0.00,0.00,1.78,0.83,-3.47,8.25,17.83,82.17,142.47,10.04,0.01,90.54,5.30,13.23,6.46,22.27,155.32,415.39,375.90,12.39,37.06,100.93,124.77,61.23,3.55,1.42,57.69,-4.52,0.89,-18.60,26.79,24.62,26.79,202409
00281,35405437.00,3121525.00,14580838.00,10701175.00,417.00,1111.00,0.00,0.00,0.00,2.07,-0.09,-0.55,0.53,89.43,10.57,264.51,0.14,0.58,50.42,0.48,23.80,0.18,47.43,28.89,190.51,41.67,0.75,63.70,22.43,49.64,30.16,0.23,0.53,27.88,-0.32,5.44,-23.40,66.99,54.07,65.62,202409
00285,13017985770.00,4169102578.00,7272568350.00,3641918324.00,761781.00,6218021.00,0.00,0.00,0.00,2.23,-0.04,-0.91,1.13,46.21,53.80,167.15,1.67,0.50,31.90,1.11,26.05,0.64,8.58,396.01,944.13,512.21,28.33,57.34,97.18,64.28,33.90,9.65,13.05,43.21,-0.83,2.19,-8.36,56.49,53.08,46.03,202409
00299,1490219518.00,418818231.00,924381982.00,292372038.00,53854.00,489676.00,0.00,0.00,0.00,3.33,-1.48,-2.30,0.52,86.05,13.99,322.05,2.97,0.13,58.06,0.49,29.39,0.41,16.25,159.54,632.75,285.90,27.17,51.99,114.76,57.05,46.20,4.12,6.38,30.19,-0.48,2.56,-10.92,65.07,50.65,54.72,202409
00300,1182945663.00,257896080.00,506619655.00,428600259.00,0.00,0.00,72.00,9754.00,355.00,1.71,0.33,-0.41,0.67,101.13,0.00,218.58,0.00,0.66,-17.36,0.52,2.42,0.17,7.99,698.77,1418.40,699.55,12.95,73.05,101.97,35.12,45.27,4.12,5.11,41.64,-0.44,0.13,-4.64,104.00,92.78,12.24,202409
