código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00309,216373613.00,106120764.00,124456443.00,75828079.00,0.00,0.00,5693.00,74339.00,351.00,1.78,20.70,5.40,6.25,35.45,64.56,48.22,2.69,12.73,-44.02,6.25,4.83,3.69,23.50,9.87,358.93,308.51,-11.03,35.93,6.72,52.75,6.80,-4.02,-5.06,27.92,-1.97,1.72,-24.82,11.10,11.10,8.19,202503
00310,389111323.00,199152342.00,291199903.00,83370262.00,0.00,0.00,3719.00,160286.00,268.00,3.67,25.78,7.22,1.96,25.05,74.95,37.26,2.17,1.32,-60.93,1.94,2.90,1.07,11.07,-5.89,1112.45,695.87,-8.03,44.87,-5.05,56.88,10.87,-2.06,-2.48,26.53,-2.07,-1.50,-21.94,40.66,5.10,39.44,202503
00311,996667081.00,493180237.00,660361474.00,229660828.00,8610.00,953042.00,45930.00,582100.00,718.00,2.57,0.28,-1.63,1.54,43.34,57.34,145.38,1.80,1.17,21.03,1.27,8.83,0.49,14.75,63.35,909.83,680.54,21.66,47.64,51.02,53.67,13.93,5.01,6.73,27.22,-0.97,4.20,-18.63,24.18,10.95,37.86,202503
00312,99316074.00,29150829.00,75889297.00,16815542.00,0.00,0.00,2948.00,61066.00,68.00,4.55,12.44,0.62,1.46,8.36,91.64,76.67,1.56,0.31,-37.57,1.46,4.07,0.25,16.54,13.84,1137.54,342.19,49.53,48.30,15.16,86.92,30.25,7.97,10.84,27.49,-0.27,-3.82,-17.62,41.93,38.14,22.11,202503
00315,680319479.00,146559201.00,459850236.00,159490181.00,0.00,0.00,6557.00,170092.00,536.00,3.03,2.13,0.83,2.35,25.42,74.58,65.00,2.12,3.03,-25.71,2.33,11.63,1.28,18.86,81.57,848.99,265.18,13.50,39.67,59.56,67.79,3.42,2.95,4.74,27.93,-0.44,2.04,-15.97,24.54,16.23,24.54,202503
00319,700063053.00,229652581.00,380859159.00,189665121.00,0.00,0.00,805.00,70.00,192.00,2.35,-4.35,-4.35,0.03,100.00,0.00,9148.44,0.00,0.03,200.63,0.03,14.58,0.00,7.55,150.16,1958.14,1205.49,7.40,50.53,37.11,45.68,22.87,2.32,3.56,21.26,-1.09,0.83,-7.74,39.17,27.12,36.41,202503
00321,1516681380.00,246512932.00,874190018.00,555933601.00,12166.00,1281046.00,29869.00,621615.00,635.00,1.73,3.36,1.21,9.07,21.80,78.20,65.19,7.92,13.20,0.93,7.19,9.38,5.20,8.83,321.87,1363.33,403.26,24.09,28.10,62.89,99.01,18.60,9.04,13.00,30.53,-0.77,1.55,-7.33,67.11,16.27,60.82,202503
00322,2532325751.00,693504010.00,1842970775.00,396236043.00,0.00,0.00,5778.00,239532.00,703.00,5.20,-3.82,-4.10,0.41,95.57,4.43,607.76,5.60,0.17,87.95,0.30,16.05,0.04,8.47,118.32,2546.77,953.93,40.08,29.87,71.90,40.75,29.06,5.76,7.40,19.13,-0.54,3.87,-8.73,56.16,54.16,22.33,202503
00330,2634833529.00,1146748976.00,1991562779.00,415630675.00,0.00,0.00,59937.00,1308469.00,1621.00,5.33,1.61,-1.04,0.93,52.28,47.72,136.29,1.81,0.13,-12.02,0.85,8.84,0.56,9.11,34.38,1193.88,683.66,-4.72,47.06,20.81,41.94,19.89,-0.81,-0.91,15.76,-0.80,1.46,-10.41,16.81,13.95,14.77,202503
00331,6409328.00,3444097.00,0.00,5734781.00,0.00,0.00,0.00,0.00,5.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,78.64,-71.06,0.00,688.40,-90.87,30.76,-47.10,36.84,0.00,-80.19,-80.19,19.67,0.00,-0.05,-58.49,0.00,0.00,0.00,202503
